val/loss,epoch,step,train/loss,grad_norm.net.W.weight,grad_norm.net.P.weight,grad_norm.net.g.linear1.weight,grad_norm.net.g.linear1.bias,grad_norm.net.g.linear2.weight,grad_norm.net.g.linear2.bias,grad_norm.net.f.linear1.weight,grad_norm.net.f.linear1.bias,grad_norm.net.f.linear2.weight,grad_norm.net.f.linear2.bias,grad_norm.encoder.U.weight,grad_norm.encoder.U.bias,grad_norm.decoder.U.weight,grad_norm.decoder.U.bias,test/loss
,3,849,14.277447700500488,2.053779202302921e-21,1.2796055503406478e-20,2.7536209983370266e-22,1.8563608667165375e-22,9.513948342505782e-23,1.1218653344422713e-22,1.236186523249642e-19,1.0279884359966223e-23,6.3996092027582145e-09,1.2622764167308002e-07,2.834371691873049e-21,6.410230932521298e-22,3.6074887079782955e-06,0.032759054987999914,
,3,899,14.838245391845703,1.481829399100977e-20,2.443583388625443e-20,1.6052062718987625e-20,8.90173976520343e-21,5.5812906542768206e-21,6.265104178042841e-21,1.552232719925778e-19,3.0443035448299296e-24,5.460669123791459e-10,8.033835813641261e-08,1.7441278719761206e-19,3.2584655920793924e-20,1.6270086200347417e-06,0.07811089525823041,
,3,949,14.002217292785645,1.0055038441338259e-16,7.536472234155048e-17,3.6721298312545923e-16,2.1762975742582473e-16,1.202184052859747e-16,1.3920084850068105e-16,3.1006319772513137e-19,1.7259956768483883e-23,3.6096366305426366e-11,6.751489677810912e-07,4.003695810033911e-15,7.958096140639524e-16,1.1778594209736037e-05,0.3035301498402541,
,3,999,15.364026069641113,1.7303574070120914e-19,1.1139654914392783e-19,2.6377118391999485e-19,1.5850193729554398e-19,8.801915332733038e-20,1.0311106229478534e-19,2.681821827512816e-19,5.45872938556335e-23,2.126858521504047e-08,1.7713530656618758e-06,2.8671250411875858e-18,5.797228119242679e-19,3.101999302073119e-05,0.15640273122091514,
14.935050964355469,3,999,,,,,,,,,,,,,,,,
,4,1049,15.09352970123291,1.2995647899276329e-19,1.7509975139838594e-19,3.3468262874345454e-19,1.8773778210365055e-19,1.1660153049248292e-19,1.3649227961770231e-19,7.694480545118038e-19,5.018332627229377e-23,3.1449892933666787e-09,1.709488078878948e-08,3.656635500793565e-18,6.858167053892774e-19,2.581937233877115e-06,0.0022519549664381695,
,4,1099,15.410419464111328,1.6334788451121183e-18,2.5866852285288645e-18,2.8098485830571758e-21,2.0369889330563035e-21,3.774487950191552e-21,4.444203134097934e-21,2.2731751833798288e-17,7.652223605534353e-22,8.745996563342875e-06,9.175755458136863e-06,8.941294035478203e-21,1.1951337336679932e-21,0.008258517368125395,0.054831277824309306,
,4,1149,14.95848560333252,2.1591665346273255e-19,1.1636390683313788e-18,7.137164468656811e-20,2.891003619399798e-20,3.5674035912108387e-20,4.553061555705536e-20,1.183593497611475e-17,3.227614387239282e-22,3.221620828310884e-10,8.651478627044755e-06,6.24290143975666e-19,8.129987728554485e-20,0.0015631828864864344,0.24716774822522486,
,4,1199,14.542180061340332,1.5060830031521782e-17,2.0771306892247703e-17,5.8012209758991335e-21,3.8827089094928595e-21,5.526922981573979e-21,5.9306722132274736e-21,1.419966101010375e-16,4.679180898983422e-22,1.2190346017184181e-07,2.0823110545786867e-05,5.912470229618989e-20,1.3917243677366255e-20,0.00043786397564556936,0.7994631901253096,
,4,1249,13.60804271697998,9.493092709236205e-18,2.4271296976995665e-17,5.587037406444531e-17,3.6632836101346124e-17,1.8017668623312444e-17,1.9926173427977275e-17,1.1950191471388687e-16,8.155789649237957e-22,1.8068632980514325e-06,1.923966517450972e-06,6.067553555050061e-16,1.372438571164961e-16,5.093846831631395e-05,0.016912453058218903,
14.937170028686523,4,1249,,,,,,,,,,,,,,,,
,5,1299,14.966267585754395,5.3418240313444195e-20,3.6302253799974e-19,1.1084166186138253e-19,6.518489625497195e-20,3.706527055959882e-20,4.030323040828762e-20,4.216392624424133e-18,1.5814249338571875e-22,4.31270246704268e-08,1.1475252295866541e-06,1.206990041959123e-18,2.551754754509309e-19,0.00022258410138206844,0.0890343996663455,
